 x  y  z  phi1  Phi  phi2  oriId  IsRex  MaxAnglePassed 
0.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
0.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
0.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
0.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
0.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
0.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.35 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
1.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.35 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
2.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.35 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
3.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.35 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
4.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.35 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.45 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.55 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.65 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.75 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.85 0.0866025 0 233.335 112.144 201.145 1525 1 0
5.95 0.0866025 0 233.335 112.144 201.145 1525 1 0
6.05 0.0866025 0 233.335 112.144 201.145 1525 1 0
6.15 0.0866025 0 233.335 112.144 201.145 1525 1 0
6.25 0.0866025 0 233.335 112.144 201.145 1525 1 0
6.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
6.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
7.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
8.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
9.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
10.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
11.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
12.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
13.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
14.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
15.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.15 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.25 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.35 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.45 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.55 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.65 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.75 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.85 0.0866025 0 145.111 120.699 318.544 39938 1 0
16.95 0.0866025 0 145.111 120.699 318.544 39938 1 0
17.05 0.0866025 0 145.111 120.699 318.544 39938 1 0
17.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
17.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
18.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
19.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
20.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
21.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
22.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
23.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
24.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
25.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
26.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
27.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
28.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
29.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
30.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
31.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.25 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.35 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.45 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.55 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.65 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.75 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.85 0.0866025 0 259.378 124.685 218.384 39941 1 0
32.95 0.0866025 0 259.378 124.685 218.384 39941 1 0
33.05 0.0866025 0 259.378 124.685 218.384 39941 1 0
33.15 0.0866025 0 259.378 124.685 218.384 39941 1 0
33.25 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.35 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.45 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.55 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.65 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.75 0.0866025 0 141.954 78.3548 281.711 268628 1 0
33.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
33.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
34.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
35.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
36.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
37.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
38.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
39.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
40.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
41.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
42.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.85 0.0866025 0 244.779 59.6821 237.957 297281 1 0
43.95 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.05 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.15 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.25 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.35 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.45 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.55 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.65 0.0866025 0 244.779 59.6821 237.957 297281 1 0
44.75 0.0866025 0 244.779 59.6821 237.957 297281 1 0
